,sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
0,126389,10855,0.16676235,0.001175383,0.990629546,0.981433072,0.987973401,1,0.954093905,0.91221756,0.941745929,0.969372618,0.252555663,0,0,0,0,714.0050006,458.3138454,1.557895332,0.159690704,0,0,0,0
1,120217,10702,0.096718284,0.000932969,0.976618244,0.95430492,0.970886655,1,0.941139389,0.888822739,0.926191988,0.972694655,0.016933338,0,0,0,0,457.7874285,318.0427666,1.43938953,0.124033966,0,0,0,0
2,19981,10852,0.115694027,0.000751107,0.996473653,0.992972088,0.995653836,1,0.978765751,0.958414539,0.972831074,0.982110753,0.52174901,0,0,0,0,615.4351394,451.9021315,1.361877045,0.093994778,0,0,0,0
3,20320,11108,0.236369036,0.001438932,0.980979203,0.962668481,0.977176264,1,0.939662658,0.886192178,0.924449957,0.973042199,0.004738275,0,0,0,0,587.360913,368.0587302,1.595834753,0.045085663,0,0,0,0
4,114723,11256,0.25948315,0.001520345,0.980438152,0.961626952,0.976363078,1,0.920513906,0.852733454,0.901109318,0.964257026,0.02247408,0,0,0,0,779.5614349,757.8837993,1.028602849,2.856574102,0,0,0,0
5,20888,11364,0.166184113,0.000722094,0.989468626,0.97915676,0.987073687,1,0.956912685,0.917385028,0.9455386,0.976948326,0.382402813,0,0,0,0,697.0959195,501.7919455,1.389213051,0.103029054,0,0,0,0
6,86444,10076,0.132966784,0.000957794,0.998683181,0.997369825,0.998355563,1,0.975673984,0.952503372,0.96888338,0.985019505,0.797715392,0,0,0,0,53.01006799,36.5198918,1.451539569,0.19470405,0,0,0,0
7,83454,10161,0.145034695,0.000965236,0.998499472,0.99700344,0.998112137,1,0.973532524,0.948429976,0.966140762,0.975390095,0.809004602,0,0,0,0,47.4122731,35.52031339,1.334793209,0.186732187,0,0,0,0
8,93169,10113,0.141900404,0.000779163,0.999240356,0.998481864,0.999067437,1,0.978209096,0.957347626,0.972140168,0.988360753,0.843597362,0,0,0,0,65.53559392,46.46353848,1.41047359,0.051684929,0,0,0,0
9,125511,10565,0.163620841,0.00201087,0.993638577,0.987357578,0.992135574,1,0.959224098,0.921643262,0.948021494,0.96683279,4.64E-09,0,0,0,0,645.9213431,411.8150701,1.568474274,0.095675469,0,0,0,0
10,82051,9947,0.217543008,0.001875377,0.974652337,0.950557916,0.970291445,1,0.949372566,0.903624382,0.936528852,0.979561464,0.779819513,0,0,0,0,54.10938967,39.06578792,1.385083792,0.086617583,0,0,0,0
11,20649,11287,0.267269966,0.00304457,0.981817423,0.96428425,0.977995589,1,0.942664543,0.891547273,0.927737641,0.968163371,0.295790667,0,0,0,0,619.6207149,418.3496083,1.481107434,0.055047892,0,0,0,0
12,95460,10586,0.126645354,0.000779861,0.965076661,0.932510288,0.95695491,1,0.93727147,0.881948158,0.921771137,0.975278251,0.402842773,0,0,0,0,498.6591945,349.3818483,1.42726131,0.043909722,0,0,0,0
13,88589,10975,0.150501947,0.000488207,0.981371904,0.963425129,0.97620922,1,0.943712668,0.893424204,0.928900969,0.966307212,0.285644521,0,0,0,0,576.6271369,349.1626328,1.65145718,0.15080429,0,0,0,0
14,112332,10640,0.154647089,0.000829386,0.985516255,0.971446078,0.982403743,1,0.957285905,0.918071319,0.946045949,0.978026499,0.552090882,0,0,0,0,232.5898606,175.4051125,1.326015287,0.450944546,0,0,0,0
15,92211,10435,0.105635445,0.000920629,0.997927615,0.995863801,0.997392813,1,0.976910851,0.954863858,0.970481715,0.987792571,1.62E-06,0,0,0,0,674.0664412,471.8737486,1.428488962,0.047308165,0,0,0,0
16,96659,10362,0.14817842,0.001158421,0.997291467,0.994597567,0.996464753,1,0.974343839,0.949971224,0.967166885,0.979859227,6.29E-12,0,0,0,0,854.02016,515.3614359,1.657128571,0.031060724,0,0,0,0
17,104235,10585,0.172769455,0.006381952,0.977237904,0.955488972,0.971713088,1,0.950524424,0.905713716,0.937785157,0.977360181,0.465735901,0,0,0,0,397.2905921,279.1117716,1.423410377,0.027990297,0,0,0,0
18,20362,11149,0.168453221,0.001371869,0.971921482,0.945376706,0.965749816,1,0.93184816,0.872392974,0.915315762,0.974634729,5.17E-10,0,0,0,0,667.8546925,488.4453939,1.367306767,0.049815682,0,0,0,0
19,86486,11196,0.130523831,0.000335786,0.987949995,0.976186938,0.984995376,1,0.94863429,0.902287644,0.935460346,0.97667463,0.391599197,0,0,0,0,546.9041594,389.2627139,1.40497443,0.299113343,0,0,0,0
20,84103,9970,0.121675389,0.001568393,0.99820555,0.996417528,0.997753969,1,0.979026347,0.958914408,0.973163639,0.984285957,0.785151194,0,0,0,0,39.39251959,25.7448116,1.530114891,0.386907874,0,0,0,0
21,88773,10758,0.334919151,0.001897571,0.988490054,0.977242052,0.985694191,1,0.953873753,0.911815143,0.941625815,0.972829274,0,0,0,0,0,-637.1396698,-429.1722992,1.484577805,98.01100705,0,0,0,0
22,112028,11225,0.16073789,0.000801631,0.991832306,0.983796954,0.990011674,1,0.969118525,0.940087244,0.960498146,0.970437585,0.443516013,0,0,0,0,689.7555374,527.8391342,1.306753313,0.068426197,0,0,0,0
23,84973,10075,0.289000906,0.002588399,0.998991046,0.997984125,0.998768101,1,0.972073868,0.945665099,0.964350277,0.976407023,0.820951934,0,0,0,0,47.9561876,37.49352655,1.279052466,0.089988751,0,0,0,0
24,129886,10787,0.106069087,0.000691521,0.984282602,0.969051632,0.980637026,1,0.95819475,0.919744597,0.94692943,0.972543693,0.000526184,0,0,0,0,621.6350004,407.4462883,1.525685761,0.028066236,0,0,0,0
25,87445,11153,0.268896522,0.001710386,0.997745482,0.995501107,0.997113898,1,0.958135068,0.919634628,0.946884623,0.973294664,0.003246146,0,0,0,0,756.3933518,575.7703788,1.313706609,0,0,0,0,0
26,118864,10127,0.165381391,0.001746697,0.986770989,0.973887421,0.98313213,1,0.96863373,0.939175305,0.959980769,0.974185884,0.814392958,0,0,0,0,73.6896533,54.24045772,1.358573589,0.01699813,0,0,0,0
