sub,ses,task,acq,space,den,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal
102041,10603,fracback,singleband,fsLR,91k,0.0598687890748918,0.0331894725652173,0.242481,139.7292799194491,50.10246826569721,0.0,0,0.6754026724112627,0.021370669669692
103679,10110,fracback,singleband,fsLR,91k,0.1413727606597401,0.0744129886956521,0.490929,143.0321225058077,44.53971768028127,0.0,0,0.7700400612438224,-0.1230156011116564
104235,10585,fracback,singleband,fsLR,91k,0.0792143443948309,0.0444851484347825,1.39663,134.24429182616814,45.07343545492655,0.0,0,0.8309148925319358,-0.434882179069089
104785,10779,fracback,singleband,fsLR,91k,0.081382670415584,0.0461795242173912,0.512579,118.2400670469048,32.182899913711246,0.0,0,0.7651140989879205,0.2520528497678624
105168,10761,fracback,singleband,fsLR,91k,0.1392317553627703,0.0845465939999999,0.351915,116.40846365084344,36.310099460849806,0.0,0,0.6542436291376438,0.1361842609765901
105176,10571,fracback,singleband,fsLR,91k,0.2555010246999999,0.1548203411304347,3.73267,150.7676102567923,45.45915880464129,0.0,0,0.8509152709249111,0.0339501079669943
105767,10708,fracback,singleband,fsLR,91k,0.2505893159220776,0.1548956464782608,3.91228,124.09121516600526,36.76902183375319,0.0,0,0.9106316585687628,0.0715392758941318
105860,10641,fracback,singleband,fsLR,91k,0.0956013073073592,0.0493110556521739,0.690875,130.64721496498316,41.42635868679957,0.0,0,0.6881379995064614,-0.0433945197158696
105979,10067,fracback,singleband,fsLR,91k,0.073757318855411,0.0412851996956521,0.23449,108.75249158732336,30.42918621791929,0.0,0,0.2620537211728005,0.0698928121020156
106039,10626,fracback,singleband,fsLR,91k,0.0636041807526208,0.0360123939999999,0.166826,118.69691645419448,40.030658092890064,0.0,0,0.5975709322953499,0.0745786517849183
106246,10593,fracback,singleband,fsLR,91k,0.1343090587489178,0.0800965099130434,0.628969,135.99125182968467,48.20186582895211,0.0,0,0.8342163447328277,0.0878295997646477
106331,10587,fracback,singleband,fsLR,91k,0.3610699887872726,0.2229233425217391,4.74296,195.50227225917288,55.85948117243425,0.0,0,0.9386350764382808,-0.0448165142315625
106802,10856,fracback,singleband,fsLR,91k,0.0628085921939392,0.0360286280869565,0.190132,126.8056846002739,39.97209331783687,0.0,0,0.4909692604278812,-0.1251799144875164
106880,10302,fracback,singleband,fsLR,91k,0.0529323150060603,0.0300371403043478,0.1448809999999999,110.49377518149048,39.41763452943876,0.0,0,0.5618718998039341,-0.0034815924990095
