bblid,scanid,meanDV,relMeanRMSMotion,relMaxRMSMotion,motionDVCorrInit,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxelsTS,negativeVoxels,normJaccard,normDice,normCrossCorr,normCoverage
104235,20170623x10585,0.9421293,0.0863811,1.0799,0.2044563,0.6382891,0.5407026,0.701891,0.98393,9458,27,0.5570521,0.7155214,0.6703205,0.9867391
104785,20180429x10779,0.8434905,0.0788466,0.129404,0.2082119,0.6948471,0.6057012,0.7544382,0.9515671,10855,23,0.6128797,0.7599819,0.7125077,0.9434897
105168,20180417x10761,0.8914738,0.0731061,0.344733,0.1504764,0.6544185,0.5596462,0.7176579,0.9825092,14956,66,0.5682922,0.7247274,0.6807435,0.9873772
105176,20170510x10571,0.8666281,0.0519136,0.251066,0.1515159,0.6393833,0.5407536,0.7019339,0.9863423,9364,78,0.5376438,0.6993087,0.6529605,0.9901952
105309,20180425x10776,0.9696172,0.105267,0.52149,0.374512,0.6065169,0.4929942,0.66041,0.9943456,13742,109,0.5018344,0.6682953,0.6196807,0.9963844
105860,20171122x10641,0.8754467,0.0571691,0.187132,0.1194609,0.6346043,0.5414883,0.7025526,0.9705052,6378,20,0.5502116,0.7098535,0.6605473,0.9705645
105979,20160210x10067,9.61919,0.102311,0.785508,0.9539963,0.6936343,0.5736697,0.7290853,0.9938606,0.6060749,0.7547281,0.7161632,0.9969692
106039,20171027x10626,0.8767677,0.116437,0.254587,0.1560399,0.6839298,0.5913726,0.7432233,0.9837353,11587,88,0.6051142,0.7539827,0.714034,0.9904983
106331,20170708x10587,0.9892453,0.116839,0.324228,0.3803398,0.6268486,0.5504508,0.7100526,0.9552357,17801,77,0.5611461,0.7188899,0.6674716,0.9538368
106880,20160819x10302,0.9237964,0.0811316,0.317861,0.0117918,0.58051,0.4893989,0.6571764,0.9657206,15594,157,0.5045596,0.6707074,0.6163166,0.9705326
109521,20180122x10682,0.8606379,0.0866979,0.473003,0.1720512,0.6345096,0.5051805,0.6712557,0.9979421,5045,14,0.5059799,0.671961,0.6245472,0.999447
109646,20170920x10608,0.9882173,0.065143,0.299886,0.120054,0.6311353,0.5589845,0.7171136,0.9616798,31283,386,0.5754611,0.7305304,0.6836669,0.9697244
110828,20160507x10134,4.108335,0.123042,0.6789,0.5218309,0.6674096,0.5465648,0.7068114,0.9975702,15990,69,0.5725814,0.7282057,0.687038,0.9986229
112061,20160129x10056,4.752199,0.0741469,0.591248,0.8858426,0.7138633,0.6087566,0.7568038,0.9911344,19302,39,0.6456705,0.7846899,0.7491023,0.994635
112126,20151120x9968,5.126426,0.163302,0.983868,0.7577615,0.6607801,0.5389127,0.7003811,0.995662,25198,71,0.5605626,0.7184109,0.6758119,0.9970915
112332,20171121x10640,1.038957,0.0942609,0.569777,0.1792856,0.6977136,0.5917003,0.7434821,0.9816078,30858,209,0.6153161,0.7618522,0.7222944,0.9877866
112694,20171110x10632,0.9369487,0.112277,0.566629,0.4506458,0.6161864,0.504806,0.670925,0.9915612,10279,44,0.5041297,0.6703274,0.6216362,0.9950498
114713,20160329x10107,4.507916,0.0848181,0.521061,0.6583743,0.762233,0.6823099,0.8111584,0.9766598,13115,21,0.715124,0.8339036,0.8018977,0.9771471
114990,20160314x10096,5.150503,0.0995013,0.683134,0.3108224,0.7123104,0.6329476,0.7752209,0.9528766,19279,15,0.6618035,0.7964883,0.7565817,0.9589838
