bblid,scanid,meanDV,relMeanRMSMotion,relMaxRMSMotion,motionDVCorrInit,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxels,normJaccard,normDice,normCrossCorr,normCoverage
104235,20101111x4102,1.305866,0.0489629,0.110646,0.2626931,0.8139684,0.7408575,0.8511409,0.9520614,3443,0.7711136,0.870767,0.8425685,0.9578034
104785,20101120x4156,1.198716,0.040185,0.086309,0.227878,0.8412398,0.7762989,0.8740634,0.9588484,3885,0.807896,0.8937416,0.8703181,0.9654441
105168,20100930x3881,1.225239,0.0310778,0.0850542,0.3764642,0.8159143,0.7455696,0.8542422,0.9562339,5317,0.7829076,0.8782369,0.8519393,0.9646891
105176,20110521x5077,1.210593,0.0435885,0.106534,0.3679554,0.8388451,0.7726924,0.8717727,0.9637807,4938,0.808532,0.8941307,0.8710982,0.9698626
105860,20121201x7503,1.201953,0.0917902,0.420738,0.8966467,0.8017297,0.7325726,0.8456472,0.921752,4576,0.7688342,0.8693118,0.8389278,0.9285433
105979,20110819x5588,1.242987,0.0896944,0.215072,0.2441344,0.828483,0.7445084,0.8535452,0.9770886,3033,0.782314,0.8778632,0.853041,0.9811827
106039,20101213x4266,1.186126,0.0713514,0.217714,0.6091261,0.8023037,0.7261248,0.8413352,0.9689273,3454,0.749955,0.8571134,0.8281875,0.9738185
106331,20101030x4045,1.357587,0.0645473,0.135726,0.3179603,0.7447059,0.6770136,0.8074039,0.896079,5044,0.7162047,0.8346379,0.7957175,0.9009262
106880,20110617x5237,0.9533077,0.081991,0.590814,0.7990189,0.8330986,0.767033,0.8681592,0.9421406,4169,0.8065496,0.8929172,0.8680713,0.9428729
109521,20110527x5120,1.129727,0.0507515,0.310938,0.7107357,0.8513379,0.7749698,0.8732202,0.9847556,3742,0.8076826,0.8936111,0.8721713,0.9893073
110828,20110226x4573,1.155084,0.0678745,0.157452,0.3268899,0.8391485,0.7616485,0.8646998,0.9756774,2430,0.79924,0.8884196,0.8653053,0.9808105
112061,20110305x4614,1.287744,0.0401418,0.0768671,0.2756205,0.8190773,0.7435336,0.8529042,0.9485067,3812,0.7823092,0.8778602,0.8509333,0.9576332
112126,20110217x4533,1.150362,0.0669624,0.26779,0.324136,0.8294377,0.7478933,0.8557654,0.9826988,2708,0.7871123,0.8808761,0.8569963,0.9855853
112332,20110128x4438,1.295125,0.0715751,0.156034,0.3763761,0.8170241,0.7398547,0.8504787,0.956745,3596,0.7714145,0.8709588,0.8434969,0.9658801
112694,20110226x4576,1.099512,0.0848781,0.153028,0.1997862,0.8180418,0.7409103,0.8511757,0.9595642,5168,0.7813928,0.877283,0.8507383,0.9637532
114713,20111001x5800,1.212025,0.0630732,0.152197,0.4342691,0.8225273,0.7561566,0.8611494,0.9632891,3883,0.7846826,0.8793526,0.853686,0.9697509
114990,20120512x6848,0.9241398,0.0398719,0.105485,0.3363999,0.8077723,0.7424524,0.8521924,0.9249192,5463,0.7724602,0.8716249,0.8420622,0.9354609
116019,20121001x7298,1.206384,0.106143,0.272704,0.4341552,0.8053488,0.7308481,0.8444971,0.9522952,7821,0.7680422,0.8688053,0.8405776,0.9615147
117397,20110526x5109,1.095151,0.140958,0.923481,0.9291293,0.8048767,0.7181178,0.8359355,0.9826018,7712,0.7583573,0.8625747,0.8359034,0.9859628
118864,20110512x5010,1.13815,0.0703619,0.270578,0.2345094,0.8131879,0.7412719,0.8514143,0.9689659,2576,0.7859804,0.8801669,0.8546,0.9692777
118990,20120929x7292,1.141456,0.0445701,0.131946,0.3840743,0.8069594,0.7342767,0.8467815,0.8782732,6714,0.7773316,0.8747176,0.8448866,0.8933866
119791,20110521x5079,1.187034,0.0860961,0.364191,0.8384554,0.8122319,0.7421578,0.8519984,0.9517916,4132,0.7747371,0.8730725,0.8454968,0.9603556
120562,20110912x5693,1.169294,0.0990414,0.558087,0.8379859,0.8085933,0.7451992,0.853999,0.9348496,5286,0.7858943,0.8801129,0.8527669,0.9448934
