bblid, scanid,date,datexscaind
112332,10640,20171121,20171121x10640
116354,10643,20171204,20171204x10643
129886,10787,20180507,20180507x10787
87346,10597,20170822,20170822x10597
88402,10679,20180118,20180118x10679
88608,10165,20160526,20160526x10165
88773,10758,20180405,20180405x10758
93274,10785,20180503,20180503x10785
95057,10778,20180429,20180429x10778
98871,10717,20180310,20180310x10717
99604,10633,20171112,20171112x10633
102041,10603,20170907,20170907x10603
104059,10762,20180418,20180418x10762
104785,10779,20180429,20180429x10779
105168,10761,20180417,20180417x10761
105309,10776,20180425,20180425x10776
105860,10641,20171122,20171122x10641
109521,10682,20180122,20180122x10682
109646,10608,20170920,20170920x10608
112061,10056,20160129,20160129x10056
112694,10632,20171110,20171110x10632
120562,10666,20171214,20171214x10666
121407,10619,20171017,20171017x10619
122528,10697,20180212,20180212x10697
126176,10625,20171024,20171024x10625
130121,10786,20180507,20180507x10786
131867,10669,20171220,20171220x10669
132179,10780,20180429,20180429x10780
132657,10616,20171011,20171011x10616
133220,10792,20180514,20180514x10792
